Date,Facebook,Apple,Google,Tesla,Intel,Advanced Micro Devices,Microsoft,Genpact
25-07-2019,200.710007,204.578476,1135.939941,228.820007,50.986095,33.669998,138.871582,40.080589
26-07-2019,199.75,205.289978,1245.219971,228.039993,50.428925,34.02,140.010757,40.140186
29-07-2019,195.940002,207.207077,1241.839966,235.770004,51.32822,33.48,139.703674,40.25938
30-07-2019,197.039993,206.317688,1228,242.259995,50.536446,33.869999,139.030075,40.060722
31-07-2019,194.229996,210.527466,1218.199951,241.610001,49.412327,30.450001,134.988449,39.415062
01-08-2019,192.729996,205.971817,1211.780029,233.850006,48.38596,29.860001,136.761597,39.464729
02-08-2019,189.020004,201.613846,1196.319946,234.339996,47.584419,29.440001,135.612503,38.997864
05-08-2019,181.729996,191.059784,1154.75,228.320007,45.912903,27.99,130.966629,37.348946
06-08-2019,184.509995,194.67662,1171.079956,230.75,46.213051,28.860001,133.423309,37.766144
07-08-2019,185.149994,196.692566,1175.910034,233.419998,45.98671,29.190001,134.007736,38.421738
08-08-2019,190.160004,201.030792,1206.189941,238.300003,46.419708,33.919998,137.583801,41.630169
09-08-2019,187.850006,199.374222,1188.900024,235.009995,45.248638,34.189999,136.414917,41.640106
12-08-2019,185.369995,198.868317,1174.5,229.009995,44.874676,32.43,134.512939,41.024242
13-08-2019,188.449997,207.290085,1196.72998,235,46.094959,32.110001,137.296539,40.72625
14-08-2019,179.710007,201.120071,1164.25,219.619995,45.140388,30.24,133.161926,39.424992
15-08-2019,182.589996,200.118195,1169.319946,215.639999,44.973091,29.67,132.863754,39.951458
16-08-2019,183.699997,204.83992,1179.209961,219.940002,45.760368,31.18,135.298813,40.52758
19-08-2019,186.169998,208.658981,1200.439941,226.830002,46.478752,31.48,137.564896,40.825577
20-08-2019,183.809998,208.6689,1183.530029,225.860001,45.858776,30.719999,136.421906,40.587181
21-08-2019,183.550003,210.930573,1191.579956,220.830002,46.400028,31.700001,137.942551,40.666649
22-08-2019,182.039993,210.752029,1191.52002,222.149994,46.035912,31.9,136.938721,40.299114
23-08-2019,177.75,201.010971,1153.579956,211.399994,44.244862,29.540001,132.575531,39.415062
26-08-2019,180.360001,204.830002,1171.180054,215,44.83532,30.280001,134.622955,39.683258
27-08-2019,181.300003,202.518738,1170.819946,214.080002,45.061661,30.200001,134.911179,39.752792
28-08-2019,181.759995,203.877731,1173.75,215.589996,45.061661,30.780001,134.732269,39.931587
29-08-2019,185.570007,207.329742,1194.23999,221.710007,46.124481,31.450001,137.276642,40.646778
